행정기관코드,기준연월,시도명,시군구명,읍면동명,0~9세_남자,0~9세_여자,10~19세_남자,10~19세_여자,20~29세_남자,20~29세_여자,30~39세_남자,30~39세_여자,40~49세_남자,40~49세_여자,50~59세_남자,50~59세_여자,60~69세_남자,60~69세_여자,70~79세_남자,70~79세_여자,80~89세_남자,80~89세_여자,90~99세_남자,90~99세_여자,100세 이상_남자,100세 이상_여자,총인구수,남자총합,여자총합
1111071000,2025-04-30,서울특별시,종로구,숭인제2동,109,98,139,146,947,1506,1052,1052,580,487,819,670,773,649,396,393,149,207,15,27,0,0,10214,4979,5235
1114052000,2025-04-30,서울특별시,중구,소공동,73,64,50,95,67,136,196,239,258,277,164,153,106,107,55,59,28,31,3,5,0,0,2166,1000,1166
1114054000,2025-04-30,서울특별시,중구,회현동,75,72,103,100,205,201,260,278,242,243,404,346,518,374,289,275,122,137,18,40,0,0,4302,2236,2066
1114055000,2025-04-30,서울특별시,중구,명동,26,19,52,65,124,185,158,158,131,190,199,244,176,284,110,196,43,111,6,30,0,0,2507,1025,1482
1114057000,2025-04-30,서울특별시,중구,필동,64,69,99,100,400,419,458,417,291,238,329,252,313,274,174,188,84,111,14,42,0,0,4336,2226,2110
1114058000,2025-04-30,서울특별시,중구,장충동,68,42,130,165,680,576,390,258,241,229,312,288,274,267,179,209,90,141,12,25,0,0,4576,2376,2200
1114059000,2025-04-30,서울특별시,중구,광희동,60,55,83,91,435,702,680,616,355,317,388,314,447,386,243,269,101,151,7,24,0,0,5724,2799,2925
1114060500,2025-04-30,서울특별시,중구,을지로동,60,70,30,51,158,210,490,412,271,231,209,148,240,134,132,85,50,58,5,6,0,0,3050,1645,1405
1114061500,2025-04-30,서울특별시,중구,신당동,102,115,105,137,456,715,694,655,504,446,611,515,619,570,335,362,139,215,11,46,0,1,7353,3576,3777
1114062500,2025-04-30,서울특별시,중구,다산동,194,196,357,299,893,987,1117,1019,830,843,1093,1058,952,1142,576,692,274,420,23,79,0,0,13044,6309,6735
1114063500,2025-04-30,서울특별시,중구,약수동,379,385,422,406,772,882,1117,1188,1009,1057,1173,1384,1236,1466,785,1016,366,646,45,122,0,0,15856,7304,8552
1114064500,2025-04-30,서울특별시,중구,청구동,278,259,317,305,614,717,1009,1026,705,731,871,982,871,993,523,667,228,434,20,79,0,1,11630,5436,6194
1114065000,2025-04-30,서울특별시,중구,신당제5동,211,207,233,257,594,770,922,956,716,643,886,791,776,754,366,503,154,271,20,38,0,0,10068,4878,5190
1114066500,2025-04-30,서울특별시,중구,동화동,297,257,350,350,501,537,615,669,655,672,801,920,842,859,432,467,178,328,26,63,0,0,9819,4697,5122
1114067000,2025-04-30,서울특별시,중구,황학동,312,262,214,232,837,1348,1597,1644,933,940,845,848,794,812,453,554,152,264,19,52,0,1,13113,6156,6957
1114068000,2025-04-30,서울특별시,중구,중림동,439,452,386,329,580,720,960,1150,1090,989,939,882,834,747,432,537,202,290,24,57,0,1,12040,5886,6154
1117051000,2025-04-30,서울특별시,용산구,후암동,320,287,575,489,993,1094,1417,1366,1080,1128,1210,1323,1084,1223,608,743,233,468,24,79,0,1,15745,7544,8201
1117052000,2025-04-30,서울특별시,용산구,용산2가동,112,105,207,190,651,608,862,762,636,516,559,637,587,702,387,505,202,285,19,63,0,0,8595,4222,4373
1117053000,2025-04-30,서울특별시,용산구,남영동,56,55,110,88,361,399,597,474,462,306,924,440,1025,424,402,237,149,153,16,23,0,0,6701,4102,2599
1117055500,2025-04-30,서울특별시,용산구,청파동,219,206,424,485,1445,2420,1765,1676,1095,1032,1455,1438,1213,1314,603,850,293,480,23,75,0,1,18512,8535,9977
1117056000,2025-04-30,서울특별시,용산구,원효로제1동,534,510,495,442,1044,1750,1986,2330,1259,1325,1096,1145,878,945,435,473,144,257,26,45,0,1,17120,7897,9223
1117057000,2025-04-30,서울특별시,용산구,원효로제2동,331,382,428,490,770,1037,1142,1248,952,921,1067,1116,931,984,476,562,209,360,27,68,0,0,13501,6333,7168
1117058000,2025-04-30,서울특별시,용산구,효창동,308,336,344,324,653,808,1001,1052,754,805,803,933,609,644,287,376,155,251,19,45,0,1,10508,4933,5575
1117059000,2025-04-30,서울특별시,용산구,용문동,273,273,308,312,709,795,966,974,725,755,874,943,754,845,426,597,199,327,15,49,0,2,11121,5249,5872
1117062500,2025-04-30,서울특별시,용산구,한강로동,592,595,463,469,1276,1719,2268,2626,1397,1453,1465,1671,1401,1380,684,662,284,399,40,83,1,0,20928,9871,11057
1117063000,2025-04-30,서울특별시,용산구,이촌제1동,1075,1000,1302,1281,1242,1265,1338,1665,1862,2193,2056,2375,1525,1604,754,939,438,747,92,166,0,0,24919,11684,13235
1117064000,2025-04-30,서울특별시,용산구,이촌제2동,195,207,212,207,363,394,677,649,558,560,571,643,563,719,330,440,140,252,25,45,0,2,7752,3634,4118
1117065000,2025-04-30,서울특별시,용산구,이태원제1동,102,99,113,124,409,352,656,516,411,371,433,468,497,507,235,346,118,200,29,41,0,1,6028,3003,3025
1117066000,2025-04-30,서울특별시,용산구,이태원제2동,175,132,196,212,570,580,889,822,617,640,573,653,512,644,301,427,174,296,31,49,1,0,8494,4039,4455
1117068500,2025-04-30,서울특별시,용산구,한남동,443,424,466,425,707,748,1133,1367,1153,1228,1022,1213,877,993,502,629,228,312,31,65,2,0,13968,6564,7404
1117069000,2025-04-30,서울특별시,용산구,서빙고동,320,295,662,657,758,733,709,768,1013,1064,971,1109,857,859,392,467,192,378,51,78,1,0,12334,5926,6408
1117070000,2025-04-30,서울특별시,용산구,보광동,82,67,201,138,471,361,636,472,486,437,636,650,592,727,294,421,133,222,17,43,0,1,7087,3548,3539
1120052000,2025-04-30,서울특별시,성동구,왕십리제2동,492,483,501,496,927,1109,1439,1467,1121,1141,1238,1305,1099,1140,535,696,234,349,23,63,1,2,15861,7610,8251
1120053500,2025-04-30,서울특별시,성동구,왕십리도선동,998,852,840,820,1564,2107,2056,2428,1916,1939,1963,2236,1646,1679,793,1011,379,575,29,100,0,1,25932,12184,13748
1120054000,2025-04-30,서울특별시,성동구,마장동,479,434,675,707,1948,1967,1702,1540,1258,1232,1624,1704,1532,1589,878,1009,343,588,39,88,0,1,21337,10478,10859
1120055000,2025-04-30,서울특별시,성동구,사근동,145,128,340,491,2657,2221,968,662,541,473,605,669,489,501,289,407,180,247,13,21,0,0,12047,6227,5820
1120056000,2025-04-30,서울특별시,성동구,행당제1동,410,384,463,504,925,1143,1178,1250,977,989,1003,1139,872,898,440,535,216,300,14,52,0,0,13692,6498,7194
1120057000,2025-04-30,서울특별시,성동구,행당제2동,761,739,829,1000,1089,1329,1641,1813,1643,1751,1895,2041,1450,1610,803,1063,334,578,39,94,0,0,22502,10484,12018
1120058000,2025-04-30,서울특별시,성동구,응봉동,466,415,725,690,728,841,980,1057,1139,1312,1229,1310,869,962,490,650,244,394,32,60,0,0,14593,6902,7691
1120059000,2025-04-30,서울특별시,성동구,금호1가동,517,474,509,514,685,734,1051,1194,1240,1214,1106,1179,958,1168,568,706,208,377,23,74,0,0,14499,6865,7634
1120061500,2025-04-30,서울특별시,성동구,금호2.3가동,709,706,588,563,1085,1110,1777,1933,1649,1668,1586,1708,1368,1583,752,999,321,554,30,86,1,1,20777,9866,10911
1120062000,2025-04-30,서울특별시,성동구,금호4가동,572,529,469,443,587,630,1099,1281,1219,1259,1036,1098,865,1061,521,684,204,368,25,69,0,0,14019,6597,7422
1120064500,2025-04-30,서울특별시,성동구,옥수동,1100,1095,812,809,1022,1219,2082,2482,2133,2236,1747,1978,1524,1902,861,1059,355,612,34,119,0,1,25182,11670,13512
1120065000,2025-04-30,서울특별시,성동구,성수1가제1동,368,368,439,396,1022,1016,1435,1448,963,965,1270,1378,1263,1169,501,532,168,284,16,49,0,1,15051,7445,7606
1120066000,2025-04-30,서울특별시,성동구,성수1가제2동,340,333,377,363,859,911,1240,1311,916,966,991,1029,868,935,437,504,187,260,8,38,0,0,12873,6223,6650
1120067000,2025-04-30,서울특별시,성동구,성수2가제1동,255,234,339,345,850,798,1275,1067,928,826,1235,1135,1484,1256,615,680,238,321,25,55,0,0,13961,7244,6717
1120069000,2025-04-30,서울특별시,성동구,성수2가제3동,200,173,262,233,672,751,869,935,666,628,743,728,721,679,389,423,183,250,19,32,0,0,9556,4724,4832
1120072000,2025-04-30,서울특별시,성동구,송정동,184,122,225,220,670,668,852,706,693,555,867,736,882,761,395,433,135,206,14,27,0,0,9351,4917,4434
1120079000,2025-04-30,서울특별시,성동구,용답동,122,116,246,237,1145,1481,1242,1137,738,557,1083,743,928,713,462,535,241,320,18,49,0,0,12113,6225,5888
1121571000,2025-04-30,서울특별시,광진구,화양동,142,134,295,439,4223,5736,2517,2369,1043,908,1058,865,796,796,499,617,235,287,21,39,0,1,23020,10829,12191
1121573000,2025-04-30,서울특별시,광진구,군자동,276,259,508,425,1954,2137,1750,1666,1196,1153,1259,1246,1228,1304,674,783,300,436,18,64,0,2,18638,9163,9475
1121574000,2025-04-30,서울특별시,광진구,중곡제1동,243,230,341,288,1041,1537,1511,1584,1000,896,1126,1161,1030,1148,551,638,251,336,12,54,0,0,14978,7106,7872
1121575000,2025-04-30,서울특별시,광진구,중곡제2동,355,346,616,563,1399,1709,1785,1860,1289,1326,1485,1741,1444,1649,744,953,303,394,20,62,0,0,20043,9440,10603
1121576000,2025-04-30,서울특별시,광진구,중곡제3동,276,235,377,354,1015,1176,1455,1276,1030,911,1221,1297,1259,1304,620,800,264,395,21,45,0,1,15332,7538,7794
1121577000,2025-04-30,서울특별시,광진구,중곡제4동,459,418,817,749,1779,1762,2108,1965,1698,1666,2263,2608,2289,2546,1227,1436,470,648,30,103,1,0,27042,13141,13901
1121578000,2025-04-30,서울특별시,광진구,능동,191,197,237,245,900,1194,1146,1298,720,835,693,739,566,684,350,445,168,214,13,24,0,0,10859,4984,5875
1121581000,2025-04-30,서울특별시,광진구,광장동,1224,1152,2634,2507,1824,1820,1537,1842,2934,3627,2949,2987,1806,1828,864,879,352,560,66,130,1,0,33523,16191,17332
1121582000,2025-04-30,서울특별시,광진구,자양제1동,308,312,673,622,1862,2017,2016,1861,1463,1506,1643,1713,1463,1629,708,976,332,501,26,78,0,0,21709,10494,11215
1121583000,2025-04-30,서울특별시,광진구,자양제2동,661,687,888,838,1570,1684,2218,2208,1791,1833,1858,2066,1759,1951,957,1075,349,501,35,87,2,0,25018,12088,12930
1121584000,2025-04-30,서울특별시,광진구,자양제3동,932,829,1134,1174,1660,1729,1808,1986,1922,2166,2117,2333,1856,2026,958,1061,404,553,74,142,1,3,26868,12866,14002
1121584700,2025-04-30,서울특별시,광진구,자양제4동,341,358,402,423,1456,1729,1910,1717,1201,1214,1609,1487,1585,1573,853,1052,319,493,37,85,0,0,19844,9713,10131
1121585000,2025-04-30,서울특별시,광진구,구의제1동,376,358,557,609,2090,2638,2258,2298,1545,1513,1685,1779,1356,1508,669,879,305,434,33,68,0,0,22958,10874,12084
1121586000,2025-04-30,서울특별시,광진구,구의제2동,581,584,1011,998,1517,1590,1726,1829,1824,1956,2077,2307,1797,2025,964,1212,390,583,33,82,0,4,25090,11920,13170
1121587000,2025-04-30,서울특별시,광진구,구의제3동,719,719,1126,1144,1741,2100,2112,2342,1924,2113,2142,2461,1816,1977,943,1090,385,521,45,115,1,0,27536,12954,14582
1123053600,2025-04-30,서울특별시,동대문구,용신동,910,908,975,911,3112,3813,3623,3641,2879,2586,2958,2774,2665,2433,1330,1581,609,902,67,129,0,0,38806,19128,19678
1123054500,2025-04-30,서울특별시,동대문구,제기동,345,344,606,540,2280,2075,1764,1349,1356,1111,1795,1592,1832,1819,1136,1378,555,785,46,119,0,4,22831,11715,11116
1123056000,2025-04-30,서울특별시,동대문구,전농제1동,909,922,1087,1071,2346,2511,2474,2289,2386,2294,2776,2609,2430,2317,1247,1498,541,819,52,145,0,2,32725,16248,16477
1123057000,2025-04-30,서울특별시,동대문구,전농제2동,433,439,703,738,935,981,1067,1034,1236,1237,1496,1592,1307,1557,760,983,360,559,39,72,0,1,17529,8336,9193
1123060000,2025-04-30,서울특별시,동대문구,답십리제1동,1074,987,957,969,1548,2154,2298,2605,2353,2222,1976,1980,1741,1802,874,1068,365,579,31,92,0,0,27675,13217,14458
1123061000,2025-04-30,서울특별시,동대문구,답십리제2동,721,778,791,843,1402,1506,2214,2119,1871,1805,2133,2290,2055,2352,1209,1507,539,824,47,118,0,2,27126,12982,14144
1123065000,2025-04-30,서울특별시,동대문구,장안제1동,993,861,1229,1226,2065,2588,3066,2941,3000,2789,2931,2825,2675,2936,1596,1829,586,756,39,119,0,0,37050,18180,18870
1123066000,2025-04-30,서울특별시,동대문구,장안제2동,1199,1168,1555,1320,1758,1887,2413,2414,2821,2841,2587,2499,2171,2340,1239,1482,449,635,28,111,0,0,32917,16220,16697
1123070500,2025-04-30,서울특별시,동대문구,청량리동,258,275,473,400,1045,1076,1158,986,1104,953,1462,1439,1864,1889,1132,1339,486,804,62,162,1,2,18370,9045,9325
1123071000,2025-04-30,서울특별시,동대문구,회기동,141,136,374,398,1486,1865,803,682,522,581,603,580,429,504,275,391,159,253,18,47,1,0,10248,4811,5437
1123072000,2025-04-30,서울특별시,동대문구,휘경제1동,272,289,385,407,1448,2157,1002,954,786,743,854,935,707,684,420,531,198,303,28,41,0,0,13144,6100,7044
1123073000,2025-04-30,서울특별시,동대문구,휘경제2동,463,416,940,1007,3008,2684,1657,1446,1458,1442,1775,1761,1429,1578,916,1087,372,552,33,84,1,1,24110,12052,12058
1123074000,2025-04-30,서울특별시,동대문구,이문제1동,589,559,762,831,2605,2875,1635,1478,1309,1264,1448,1424,1069,1125,564,757,326,497,36,78,0,2,21233,10343,10890
1123075000,2025-04-30,서울특별시,동대문구,이문제2동,477,443,737,724,1135,1343,1086,1111,1266,1238,1588,1627,1352,1403,843,1075,373,593,33,69,0,1,18517,8890,9627
1126052000,2025-04-30,서울특별시,중랑구,면목제2동,410,378,657,621,1294,1349,1714,1664,1675,1385,2120,2048,2079,2187,1022,1280,427,647,44,93,0,3,23097,11442,11655
1126054000,2025-04-30,서울특별시,중랑구,면목제4동,390,356,547,493,1054,992,1238,1185,1322,1203,1613,1501,1466,1529,819,1105,339,508,23,59,1,0,17743,8812,8931
1126055000,2025-04-30,서울특별시,중랑구,면목제5동,556,548,456,427,705,700,1110,1078,1187,1130,1171,1193,1065,1095,557,609,183,309,12,41,0,0,14132,7002,7130
1126056500,2025-04-30,서울특별시,중랑구,면목본동,537,492,745,750,2109,2328,2815,2576,2172,1925,2811,2853,2667,2773,1337,1737,557,802,30,130,1,0,32147,15781,16366
1126057000,2025-04-30,서울특별시,중랑구,면목제7동,491,451,557,469,1193,1262,1657,1596,1470,1271,1784,1700,1760,1934,1021,1221,376,517,37,97,1,1,20866,10347,10519
1126057500,2025-04-30,서울특별시,중랑구,면목제3.8동,411,400,594,562,1475,1504,1842,1665,1616,1377,2052,2112,2054,2317,1196,1338,426,658,34,98,0,3,23734,11700,12034
1126058000,2025-04-30,서울특별시,중랑구,상봉제1동,671,656,883,780,1338,1337,1643,1756,1619,1501,1801,1988,1883,2010,841,1058,344,516,14,87,0,0,22726,11037,11689
1126059000,2025-04-30,서울특별시,중랑구,상봉제2동,326,339,353,326,1592,2670,2426,2582,1277,1183,1462,1393,1386,1366,695,807,285,374,20,66,1,1,20930,9823,11107
1126060000,2025-04-30,서울특별시,중랑구,중화제1동,399,380,569,539,1038,1039,1530,1390,1328,1110,1354,1468,1522,1733,878,1015,327,442,28,56,0,1,18146,8973,9173
1126061000,2025-04-30,서울특별시,중랑구,중화제2동,367,364,510,424,1426,1566,1958,1647,1564,1333,2147,1967,2343,2114,1109,1304,514,682,38,98,0,0,23475,11976,11499
1126062000,2025-04-30,서울특별시,중랑구,묵제1동,761,772,1484,1367,2004,2456,2232,2307,2394,2519,2647,2855,2294,2662,1381,1649,583,762,48,126,0,0,33303,15828,17475
1126063000,2025-04-30,서울특별시,중랑구,묵제2동,364,347,531,466,1071,1192,1368,1219,1290,1173,1473,1550,1430,1603,869,987,345,474,30,64,0,0,17846,8771,9075
1126065500,2025-04-30,서울특별시,중랑구,망우본동,1344,1289,1095,1180,1923,2315,3357,3247,2898,2588,2867,2839,3050,3139,1606,1735,547,897,52,179,1,3,38151,18740,19411
1126066000,2025-04-30,서울특별시,중랑구,망우제3동,243,242,386,426,866,871,1070,914,994,850,1419,1437,1586,1473,782,889,309,420,30,95,0,1,15303,7685,7618
1126068000,2025-04-30,서울특별시,중랑구,신내1동,997,972,1880,1803,1996,1930,2270,2303,2552,2684,2824,3202,2937,3268,1598,1865,611,958,52,200,0,4,36906,17717,19189
1126069000,2025-04-30,서울특별시,중랑구,신내2동,463,461,675,659,947,989,1369,1380,1339,1305,1477,1694,1512,1861,926,1106,319,597,47,99,0,1,19226,9074,10152
1129052500,2025-04-30,서울특별시,성북구,성북동,306,269,509,476,1097,1295,1251,1319,966,1107,1257,1428,1004,1161,571,743,313,497,38,98,0,1,15706,7312,8394
1129055500,2025-04-30,서울특별시,성북구,삼선동,369,340,743,800,1866,2271,1489,1541,1390,1400,1927,1868,1369,1535,749,1014,412,672,36,91,1,0,21883,10351,11532
1129057500,2025-04-30,서울특별시,성북구,동선동,173,187,308,571,1352,3323,1146,1259,829,834,879,950,682,766,398,529,225,346,18,65,0,3,14843,6010,8833
1129058000,2025-04-30,서울특별시,성북구,돈암제1동,331,285,473,514,802,950,903,921,850,898,1177,1320,1067,1249,604,790,271,429,32,78,0,0,13944,6510,7434
1129059000,2025-04-30,서울특별시,성북구,돈암제2동,770,735,1270,1246,1263,1317,1297,1410,1689,1985,2048,2262,1453,1637,738,931,325,513,34,127,0,3,23053,10887,12166
1129060000,2025-04-30,서울특별시,성북구,안암동,176,186,422,422,2926,2818,1204,938,704,669,940,966,753,794,404,528,217,345,24,65,0,0,15501,7770,7731
1129061000,2025-04-30,서울특별시,성북구,보문동,439,418,470,502,1134,1373,1391,1336,1175,1085,1305,1374,994,1112,499,674,230,373,26,54,0,0,15964,7663,8301
1129062000,2025-04-30,서울특별시,성북구,정릉제1동,572,512,825,775,1041,1133,1075,1106,1340,1398,1458,1516,1071,1247,659,892,303,480,41,75,0,0,17519,8385,9134
1129063000,2025-04-30,서울특별시,성북구,정릉제2동,560,530,794,717,1386,1457,1461,1450,1483,1472,1834,1986,1639,1864,977,1188,397,678,49,111,0,2,22035,10580,11455
1129064000,2025-04-30,서울특별시,성북구,정릉제3동,189,177,464,426,1897,1476,893,741,696,688,994,1079,854,1151,614,780,269,493,26,88,0,0,13995,6896,7099
1129065000,2025-04-30,서울특별시,성북구,정릉제4동,536,530,972,880,1487,1506,1415,1421,1606,1695,2094,2176,1679,2022,1044,1373,465,732,43,113,0,1,23790,11341,12449
1129066000,2025-04-30,서울특별시,성북구,길음제1동,1371,1354,2514,2581,1701,1875,1672,2062,3245,3739,3212,3039,1588,1980,941,1274,465,686,40,110,0,1,35450,16749,18701
1129068500,2025-04-30,서울특별시,성북구,길음제2동,959,919,1049,1024,1162,1310,1297,1467,1775,2004,1822,1901,1230,1346,680,818,232,379,30,66,0,2,21472,10236,11236
1129070500,2025-04-30,서울특별시,성북구,종암동,930,900,1741,1469,2681,2529,2353,2103,2626,2759,3130,3109,2531,2736,1342,1760,669,1099,83,209,0,3,36762,18086,18676
1129071500,2025-04-30,서울특별시,성북구,월곡제1동,734,730,1138,1170,1250,1387,1568,1582,1921,1969,2149,2142,1761,1942,1006,1327,481,658,36,87,0,2,25040,12044,12996
1129072500,2025-04-30,서울특별시,성북구,월곡제2동,367,305,675,603,1273,2052,1374,1196,1142,1161,1471,1417,1293,1422,780,953,377,519,31,97,0,1,18509,8783,9726
1129076000,2025-04-30,서울특별시,성북구,장위제1동,620,642,853,865,1375,1421,1625,1457,1692,1588,1939,2134,1774,1920,874,1102,360,569,28,75,0,0,22913,11140,11773
1129077000,2025-04-30,서울특별시,성북구,장위제2동,301,245,371,375,841,869,1051,973,939,789,1144,1117,1034,1200,690,896,286,424,28,71,1,1,13646,6686,6960
1129078000,2025-04-30,서울특별시,성북구,장위제3동,786,739,685,660,928,1028,1160,1272,1429,1343,1308,1348,1012,1073,502,589,196,263,17,47,0,0,16385,8023,8362
1129081000,2025-04-30,서울특별시,성북구,석관동,804,721,1013,905,2031,2273,2378,2246,2235,2031,2765,2738,2685,2865,1596,1955,727,997,54,119,0,1,33139,16288,16851
1130553400,2025-04-30,서울특별시,강북구,삼양동,548,500,885,810,1500,1408,1540,1413,1734,1589,2181,2298,2012,2085,1149,1383,472,737,33,92,0,1,24370,12054,12316
1130553500,2025-04-30,서울특별시,강북구,미아동,244,215,552,521,1397,1957,1481,1238,1266,1157,1703,1730,1730,1859,941,1236,448,698,36,90,0,2,20501,9798,10703
1130554500,2025-04-30,서울특별시,강북구,송중동,537,573,855,910,1670,1838,1824,1739,1939,1859,2323,2479,2176,2537,1295,1678,561,804,62,98,0,2,27759,13242,14517
1130555500,2025-04-30,서울특별시,강북구,송천동,307,313,590,608,1223,1289,1460,1218,1463,1286,2056,2023,2225,2245,1250,1542,535,800,47,98,0,0,22578,11156,11422
1130557500,2025-04-30,서울특별시,강북구,삼각산동,1065,937,1877,1794,1587,1600,1504,1643,2492,2703,2813,2912,1732,1981,991,1320,406,675,30,114,0,0,30176,14497,15679
1130559500,2025-04-30,서울특별시,강북구,번1동,200,198,373,418,1221,1507,1267,1110,1201,1018,1436,1278,1199,1284,717,934,340,455,18,60,0,1,16235,7972,8263
1130560300,2025-04-30,서울특별시,강북구,번2동,201,214,405,377,844,807,825,739,965,838,1225,1285,1272,1393,768,1207,383,673,30,77,1,2,14531,6919,7612
1130560800,2025-04-30,서울특별시,강북구,번3동,290,290,530,514,774,743,788,801,942,930,1349,1359,1264,1453,874,1487,495,811,38,96,0,3,15831,7344,8487
1130561500,2025-04-30,서울특별시,강북구,수유1동,309,301,577,607,1174,1448,1414,1167,1346,1159,1618,1592,1631,1796,974,1186,401,634,54,95,0,1,19484,9498,9986
1130562500,2025-04-30,서울특별시,강북구,수유2동,392,334,597,558,1052,1292,1227,1079,1320,1193,1708,1832,1675,1964,1044,1366,500,822,40,127,0,2,20124,9555,10569
1130563500,2025-04-30,서울특별시,강북구,수유3동,244,230,462,502,1776,2226,1860,1539,1487,1238,1967,1908,1782,1902,997,1285,463,683,40,99,0,1,22691,11078,11613
1130564500,2025-04-30,서울특별시,강북구,우이동,367,356,624,592,953,1192,1176,1098,1292,1174,1696,1777,1572,1839,1019,1303,516,776,47,114,0,2,19485,9262,10223
1130566000,2025-04-30,서울특별시,강북구,인수동,488,485,966,886,1537,1652,1754,1571,1900,1747,2365,2509,2385,2779,1487,1917,678,1071,70,163,0,4,28414,13630,14784
1132051100,2025-04-30,서울특별시,도봉구,창제1동,507,501,955,882,1370,1459,1576,1534,1652,1719,1961,2237,1707,2025,970,1228,464,716,53,115,0,0,23631,11215,12416
1132051200,2025-04-30,서울특별시,도봉구,창제2동,588,564,974,899,1667,1755,1923,1860,1903,1874,2307,2503,2175,2441,1236,1449,524,762,39,112,0,0,27555,13336,14219
1132051300,2025-04-30,서울특별시,도봉구,창제3동,225,212,451,426,735,643,758,650,947,816,1214,1211,1118,1217,635,802,289,456,22,52,0,0,12879,6394,6485
1132051400,2025-04-30,서울특별시,도봉구,창제4동,661,622,1134,1050,1563,1805,1757,1777,1792,1921,2164,2522,1964,2185,966,1081,401,638,62,138,1,0,26204,12465,13739
1132051500,2025-04-30,서울특별시,도봉구,창제5동,541,496,824,809,1440,1554,1670,1738,1461,1556,1885,2255,1832,2076,1033,1152,425,619,37,116,0,1,23520,11148,12372
1132052100,2025-04-30,서울특별시,도봉구,도봉제1동,246,261,484,463,1002,902,1123,907,1257,1053,1783,1678,1911,2009,1336,1582,590,813,49,135,0,0,19584,9781,9803
1132052200,2025-04-30,서울특별시,도봉구,도봉제2동,683,617,718,675,1263,1218,1673,1635,1745,1607,1977,2111,2293,2539,1534,1797,643,881,60,140,0,0,25809,12589,13220
1132066000,2025-04-30,서울특별시,도봉구,쌍문제1동,421,403,664,715,1121,1542,1207,1147,1370,1278,1785,1852,1650,1900,1001,1232,525,705,44,107,0,2,20671,9788,10883
1132067000,2025-04-30,서울특별시,도봉구,쌍문제2동,360,343,584,491,1022,966,1162,1073,1195,1169,1433,1631,1430,1756,837,1049,329,569,42,121,0,1,17563,8394,9169
1132068000,2025-04-30,서울특별시,도봉구,쌍문제3동,295,289,434,449,1009,1193,1206,1150,1085,1068,1321,1354,1191,1438,744,949,351,513,26,60,0,0,16125,7662,8463
